Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'entreprise;Ville de l'entreprise;Code postal de l'entreprise;Tel entreprise;Mail;Longitude Latitude;Plus Code;Directeur;;;;;;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;2022 Nb BioQ1;2022  Nb BioQ2;2021 Nb BioQ1;2021  Nb QIAB2;2020 Nb QIAB1;2020  Nb QIAB2;2019  Nb QIAB1;2019  Nb QIAB2;2018 Nb QIAB1;2018  NbQIAB2;DeuxMilleDixSept  Nb QIAB1;DeuxMilleDixSept  Nb QIAB2;DeuxMilleSeize  Nb QIAB1;DeuxMilleSeize  Nb QIAB2;DeuxMilleQuinze  Nb QIAB1;DeuxMilleQuinze  Nb QIAB2;DeuxMilleQuatorze  Nb QIAB1;DeuxMilleQuatorze  Nb QIAB2;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J;;
Alimentaire;Normes;AFNOR;"      ; 2020_QIAB2=1            ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 rue Francis de Pressensé;La Plaine St Denis;93571;01 41 62 61 32;sabrina.duplanil@afnor.org;48.919900726327214, 2.3613195711803807;;;;;;;;46;N° 46 AFNOR;28;N° 28 AFNOR;;;;;;1;;;;;;;;;;;;;7;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
Alimentaire;Conserves;Agrana Fruit France;"  ;2021_BioQ1=1   ; 2020_QIAB2=1;2019_QIAB1=1           ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17 avenue du 8 mai 45;Mitry Mory;77290;06 79 45 79 46;lucie.grancier@agrana.com;48.98263989213768, 2.624709424966415;;;;;;;;10;N° 10 Agrana Fruit France;28;N° 28 Agrana Fruit France;;;1;;;1;1;;;;;;;;;;;;21;7;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;
Alimentaire;Boulangerie;Ange Boulangerie SAS Maliaka;"      ;2019_QIAB1=1           ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CC Sous le Pont de Pierre, Av de Stalingrad;Garges les Gonesses;95140;06 38 86 10 49;garges.responsable@boulangerie-ange.fr;48.972712661111416, 2.419511455650537;;;;;;;;57;N° 57 Ange Boulangerie SAS Maliaka;55;N° 55 Ange Boulangerie SAS Maliaka;;;;;;;1;;;;;;;;;;;;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;
Alimentaire;Traiteur;ARYZTA France;"    ; 2021_QIAB2=1              ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-16 avenue Joseph Paxton;Ferrières en Brie;77164;06 14 26 47 16;guillaume.conti@aryzta.com;48.826618074282464, 2.7201078937256997;;;;;;;;30;N° 30 ARYZTA France;22;N° 22 ARYZTA France;;;;1;;;;;;;;;;;;;;;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Alimentaire;Distribution;Auchan Bagnolet;"        ;2018_QIAB1=1         ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26 avenue du Général de Gaulle;Bagnolet;93541;01 49 72 62 00;;48.86551231870581, 2.4151897268114464;;;;;;;;75;N° 75 Auchan Bagnolet;56;N° 56 Auchan Bagnolet;;;;;;;;;1;;;;;;;;;;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
Alimentaire;Distribution;Auchan Epinay;"          ; 2018_QIAB2=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5 avenue de Lattre de Tassigny;Epinay;93800;01 55 99 47 38;;48.95365908542537, 2.3138500826366024;;;;;;;;77;N° 77 Auchan Epinay;43;N° 43 Auchan Epinay;;;;;;;;;;1;;;;;;;;;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
Alimentaire;Traiteur;Baluchon;"        ;2018_QIAB1=1         ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cité Marcel Cachin;Romainville;93230;01 48 46 15 58;sara.demesse@baluchon.fr;48.881206275102, 2.432391272758777;;;;;;;;77;N° 77 Baluchon;57;N° 57 Baluchon;;;;;;;;;1;;;;;;;;;;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
Alimentaire;Pâtisserie;Bimbo QSR Fleury;"        ; 2019_QIAB2=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rue Condorcet;Fleury Mérogis;91700;01 69 25 34 00;celine.morelli@grupobimbo.com;48.642524829556066, 2.380117211461863;;;;;;;;58;N° 58 Bimbo QSR Fleury;33;N° 33 Bimbo QSR Fleury;;;;;;;;1;;;;;;;;;;;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
Médical;LABM;Biogroup LCD;"      ; 2020_QIAB2=1  ; 2019_QIAB2=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70 boulevard Anatole France;St Denis;93200;06 08 46 46 86;r.penka@biogrouplcd.fr;48.925640431838076, 2.350113772906153;;;;;;;;21;N° 21 Biogroup LCD;11;N° 11 Biogroup LCD;;;;;;1;;1;;;;;;;;;;;13;13;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;
Alimentaire;Biscuiterie;Biscuiterie Astruc;"      ; 2020_QIAB2=1;2019_QIAB1=1           ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 rue Denis Papin;Villeparisis;77270;01 04 27 61 62;g.meyer@astruc.fr;48.95148847405477, 2.6193295538009274;;;;;;;;21;N° 21 Biscuiterie Astruc;29;N° 29 Biscuiterie Astruc;;;;;;1;1;;;;;;;;;;;;13;7;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;
